Transaction_ID,Date,Customer_ID,Product_Category,Quantity,Unit_Price,Payment_Method,Return_Status,Customer_Age,Total_Spent
T2000,2026-01-01,C8270,Electronics,2,364.9,Debit Card,No,61.0,729.8
T2001,2026-01-01,C1860,Clothing,1,377.09,Credit Card,No,46.72783505154639,377.09
T2002,2026-01-01,C6390,Clothing,3,81.5,Debit Card,No,41.0,244.5
T2003,2026-01-01,C6191,Grocery,6,60.37,Credit Card,No,51.0,362.22
T2004,2026-01-01,C6734,Electronics,8,289.74,Credit Card,No,44.0,2317.92
T2005,2026-01-01,C7265,Beauty,9,19.0,Credit Card,Yes,72.0,171.0
T2006,2026-01-01,C1466,Beauty,7,246.35,Cash,Yes,58.0,1724.45
T2007,2026-01-01,C5426,Clothing,4,113.07,Debit Card,No,18.0,452.28
T2008,2026-01-01,C6578,Electronics,6,179.55,Debit Card,Yes,25.0,1077.3
T2009,2026-01-01,C9322,Clothing,5,390.14,Credit Card,No,40.0,1950.7
T2010,2026-01-01,C2685,Home,8,471.21,Credit Card,Yes,55.0,3769.68
T2011,2026-01-01,C1769,Clothing,1,45.48,Cash,Yes,23.0,45.48
T2012,2026-01-01,C7949,Clothing,1,271.78,Cash,Yes,39.0,271.78
T2013,2026-01-01,C3433,Beauty,6,442.44,Cash,No,42.0,2654.64
T2014,2026-01-01,C6311,Beauty,2,50.43,Debit Card,Yes,35.0,100.86
T2015,2026-01-01,C6051,Beauty,5,414.01,Debit Card,No,34.0,2070.05
T2016,2026-01-01,C7420,Home,1,185.32,Debit Card,Yes,29.0,185.32
T2017,2026-01-01,C2184,Beauty,7,167.83,Credit Card,Yes,23.0,1174.81
T2018,2026-01-01,C5555,Electronics,1,488.96,Debit Card,Yes,43.0,488.96
T2019,2026-01-01,C4385,Grocery,4,108.42,E-wallet,Yes,44.0,433.68
T2020,2026-01-01,C7396,Electronics,9,349.67,E-wallet,Yes,25.0,3147.03
T2021,2026-01-01,C9666,Electronics,1,412.51,Cash,No,36.0,412.51
T2022,2026-01-01,C3558,Beauty,4,30.18,Debit Card,No,59.0,120.72
T2023,2026-01-01,C8849,Grocery,6,338.49,Debit Card,Yes,18.0,2030.94
T2024,2026-01-02,C3047,Grocery,6,476.26,Cash,Yes,74.0,2857.56
T2025,2026-01-02,C3747,Grocery,8,70.87,Debit Card,Yes,46.0,566.96
T2026,2026-01-02,C1189,Home,1,449.15,Credit Card,Yes,62.0,449.15
